1928 2011
1928: 94 341
1929: 134 337
1930: 142 374
1931: 82 281
1932: 79 240
1933: 84 237
1934: 141 328
1935: 85 259
1936: 135 344
1937: 60 192
1938: 103 278
1939: 126 289
1940: 110 301
1941: 108 286
1942: 59 207
1943: 57 203
1944: 69 201
1945: 128 311
1946: 62 159
1947: 77 198
1948: 144 350
1949: 114 269
1950: 139 338
1951: 75 232
1952: 123 315
1953: 114 298
1954: 118 284
1955: 141 349
1956: 106 286
1957: 142 331
1958: 145 352
1959: 107 292
1960: 74 288
1961: 91 255
1962: 63 256
1963: 88 260
1964: 107 298
1965: 84 259
1966: 90 273
1967: 78 242
1968: 148 378
1969: 135 341
1970: 99 272
1971: 142 362
1972: 109 354
1973: 111 294
1974: 144 355
1975: 145 341
1976: 130 330
1977: 149 363
1978: 118 259
1979: 144 350
1980: 94 263
1981: 126 325
1982: 78 213
1983: 78 295
1984: 51 197
1985: 141 355
1986: 95 303
1987: 102 301
1988: 57 204
1989: 134 358
1990: 57 221
1991: 134 358
1992: 99 280
1993: 87 246
1994: 132 338
1995: 98 280
1996: 121 303
1997: 65 204
1998: 129 305
1999: 59 241
2000: 150 308
2001: 147 355
2002: 126 367
2003: 115 291
2004: 122 310
2005: 102 290
2006: 58 261
2007: 130 336
2008: 80 239
2009: 139 356
2010: 60 207
2011: 56 201
